Ruben;;;;;;;;;;;;;;;
Netherlands-Qatar ; 4-1;Iran-USA; 0-1;Saudi Arabia-Mexico; 1-2;Tunisia-France ; 1-3;Costa Rica-Germany; 0-3;Canada-Morocco; 1-1;Cameroon-Brazil; 1-3;Korea Republic-Portugal; 2-3
;;;;;;;;;;;;;;;
Vegard;;;;;;;;;;;;;;;
Gruppe A:;Resultat:;Gruppe B:;Resultat:;Gruppe C:;Resultat:;Gruppe D:;Resultat:;Gruppe E:;Resultat:;"Gruppe F;";Resultat:;Gruppe G:;Resultat:;Gruppe H:;Resultat:
Qatar-Ecuador;1-0;England-Iran;3-0;Argentina-Saudi Arabia;3-0;Denmark-Tunisia;2-0;Germany-Japan; 2-1;Morocco-Croatia;0-1;Switzerland-Cameroon;1-0;Uruguay-Korea Republic; 1-1
Senegal-Netherlands;0-2;USA-Wales;  1-2 ;Mexico-Poland;0-3;France-Australia ; 3-1;Spain-Costa Rica;2-0;Belgium-Canada;3-0;Brazil-Serbia;1-0;Portugal-Ghana; 2-0
Qatar-Senegal; 1-1;Wales-Iran;3-0;Poland-Saudi Arabia;3-0;Tunisia-Australia;0-0;Japan-Costa Rica; 2-1;Belgium-Morocco;3-0;Cameroon-Serbia; 1-1;Korea Republic-Ghana; 1-0
Netherlands-Ecuador;3-0;England-USA;2-0;Argentina-Mexico; 3-1;France-Denmark; 3-3;Spain-Germany; 1-1;Croatia-Canada;2-0;Brazil-Switzerland; 2-1;Portugal-Uruguay ; 2-1
Ecuador-Senegal;2-0;Wales-England; 1-3;Poland-Argentina ; 2-2;Australia-Denmark;0-2;Japan-Spain; 1-2;Croatia-Belgium; 1-1;Serbia-Switzerland;0-0;Ghana-Uruguay ;0-2
Netherlands-Qatar ; 4-1;Iran-USA;0-1;Saudi Arabia-Mexico; 1-1;Tunisia-France ;0-2;Costa Rica-Germany;0-2;Canada-Morocco;0-0;Cameroon-Brazil; 1-3;Korea Republic-Portugal;0-3
;;;;;;;;;;;;;;;
Simen;;;;;;;;;;;;;;;
Gruppe A:;Resultat:;Gruppe B:;Resultat:;Gruppe C:;Resultat:;Gruppe D:;Resultat:;Gruppe E:;Resultat:;"Gruppe F;";Resultat:;Gruppe G:;Resultat:;Gruppe H:;Resultat:
Qatar-Ecuador;1-2;England-Iran;4-0;Argentina-Saudi Arabia;4-0;Denmark-Tunisia;2-0;Germany-Japan;2-0;Morocco-Croatia;1-2;Switzerland-Cameroon;1-0;Uruguay-Korea Republic;2-0
Senegal-Netherlands;0-1;USA-Wales;1-1;Mexico-Poland;1-1;France-Australia ;3-0;Spain-Costa Rica;3-0;Belgium-Canada;2-1;Brazil-Serbia;4-1;Portugal-Ghana;2-0
Qatar-Senegal;0-3;Wales-Iran;2-1;Poland-Saudi Arabia;2-1;Tunisia-Australia;3-2;Japan-Costa Rica;3-2;Belgium-Morocco;2-1;Cameroon-Serbia;1-3;Korea Republic-Ghana;3-2
Netherlands-Ecuador;2-1;England-USA;3-1;Argentina-Mexico;3-1;France-Denmark;1-0;Spain-Germany;0-0;Croatia-Canada;2-0;Brazil-Switzerland;3-1;Portugal-Uruguay ;1-1
Ecuador-Senegal;0-1;Wales-England;0-0;Poland-Argentina ;1-2;Australia-Denmark;0-1;Japan-Spain;1-2;Croatia-Belgium;1-1;Serbia-Switzerland;0-0;Ghana-Uruguay ;1-3
Netherlands-Qatar ;3-0;Iran-USA;1-2;Saudi Arabia-Mexico;0-2;Tunisia-France ;0-4;Costa Rica-Germany;0-4;Canada-Morocco;1-3;Cameroon-Brazil;0-3;Korea Republic-Portugal;1-3
